id_source,id_target,distance
213,15,5403
213,77,10902
213,161,10488
213,204,8109
213,472,12581
213,474,9653
213,558,11783
213,603,5642
213,663,11569
214,28,3466
214,29,6284
214,55,8969
214,66,8503
214,228,12066
214,259,12812
214,305,6135
215,174,12849
215,265,10495
215,270,11038
215,272,12910
215,529,12704
215,562,9990
215,616,9546
216,123,9932
216,205,7430
217,103,7244
217,456,12124
217,502,10310
218,104,9702
218,507,8178
218,557,6335
218,591,7532
219,111,9998
219,260,8758
219,261,3857
219,262,7858
219,491,3867
221,16,5516
221,42,12619
221,135,6306
221,332,10537
221,584,5033
222,183,5938
222,189,11190
223,152,8059
226,10,6034
226,53,11990
226,379,11057
226,436,12347
226,668,12642
227,21,11948
227,55,10297
227,228,9609
227,259,6182
227,269,9761
227,559,2591
228,28,8640
228,55,3926
228,66,10708
228,214,12066
228,227,9609
228,259,6664
228,305,8584
228,351,6965
228,559,7345
228,614,6950
229,13,10904
229,397,10295
230,181,12377
231,171,7861
231,173,7464
231,181,9526
231,238,7566
231,271,11393
231,366,9132
231,370,11493
232,141,11579
234,33,5256
234,79,4937
234,80,7127
234,167,12319
234,191,6066
234,236,11895
234,242,9861
234,309,8337
235,140,4785
235,298,7019
235,497,11718
236,79,7056
236,80,8425
236,234,11895
236,241,6759
236,242,5099
236,309,3559
238,173,10260
238,181,4436
238,231,7566
238,370,3960
238,476,9189
239,127,9711
239,283,12629
241,79,9466
241,80,7320
241,236,6759
241,242,4166
241,309,7739
242,33,12728
242,79,5300
242,80,3930
242,234,9861
242,236,5099
242,241,4166
242,309,4153
243,69,10140
243,446,6457
243,515,10967
243,665,12177
244,37,10582
244,41,7532
244,250,12766
244,269,7166
244,274,6003
244,531,10603
244,653,10272
248,343,7319
249,152,12887
249,159,5400
249,300,6855
249,342,7215
249,578,8310
249,650,12530
250,45,10739
250,244,12766
250,269,11503
250,274,7340
250,398,9930
250,531,10330
250,653,10563
255,326,10978
257,105,12820
257,119,10956
257,180,6363
257,303,12115
257,389,10547
259,28,10320
259,55,5048
259,214,12812
259,227,6182
259,228,6664
259,269,8070
259,305,6904
259,559,3813
260,219,8758
260,261,7239
260,262,6044
260,491,10783
261,111,8738
261,219,3857
261,260,7239
261,262,4171
261,491,3671
262,111,10686
262,219,7858
262,260,6044
262,261,4171
262,491,7416
263,11,5615
263,19,8986
263,330,7341
263,453,10557
263,579,3827
265,174,9626
265,215,10495
265,562,12326
265,616,12910
266,136,5331
266,207,6560
267,328,12657
267,396,6077
268,185,8966
268,489,4227
269,55,12440
269,227,9761
269,244,7166
269,250,11503
269,259,8070
269,274,8695
269,305,11445
269,559,9380
270,215,11038
270,562,5064
271,115,7479
271,171,6407
271,231,11393
271,366,12295
272,174,6064
272,215,12910
272,529,233
272,616,3525
274,41,12005
274,244,6003
274,250,7340
274,269,8695
274,531,6428
274,653,6317
275,143,10055
275,283,11910
275,320,10490
275,570,12496
275,648,8082
276,78,10234
277,76,10788
277,279,7068
277,281,7088
277,288,4454
277,382,3691
278,35,10559
278,74,4715
278,308,8029
278,334,4332
278,348,6859
278,381,3941
278,436,7178
278,494,9696
278,511,5986
278,548,10002
278,672,9077
279,76,5363
279,277,7068
279,281,1806
279,288,3216
279,382,3449
280,67,7666
280,333,6286
280,566,8847
280,569,6982
280,592,10049
281,76,4056
281,277,7088
281,279,1806
281,288,2671
281,382,3942
283,239,12629
283,275,11910
286,613,5914
287,87,11153
288,76,6380
288,277,4454
288,279,3216
288,281,2671
288,382,2048
290,391,10090
291,42,8035
291,500,5340
291,582,10947
291,583,8960
291,584,11699
292,58,8550
292,133,9196
292,385,12902
292,401,12942
292,605,7851
295,84,4886
297,46,3733
297,88,10335
297,89,7596
297,91,3637
297,92,10212
297,347,5259
297,393,8132
298,140,5366
298,235,7019
298,497,5173
300,152,8078
300,159,7937
300,249,6855
300,342,10105
300,578,9226
303,105,1051
303,119,10712
303,122,8132
303,170,10829
303,180,5984
303,257,12115
304,326,7897
304,350,9033
304,417,6290
305,28,4709
305,29,9365
305,55,4667
305,66,11480
305,214,6135
305,228,8584
305,259,6904
305,269,11445
305,559,10608
306,117,10168
306,355,8258
306,492,3791
307,100,10926
307,154,9658
307,172,4930
307,184,7589
307,528,10574
308,35,5183
308,74,12040
308,278,8029
308,334,8749
308,381,5155
308,436,3564
308,548,2272
309,33,12639
309,79,3527
309,80,5900
309,191,12925
309,234,8337
309,236,3559
309,241,7739
309,242,4153
310,337,8477
312,23,3306
312,27,4583
312,31,10522
312,66,8368
312,558,5866
312,603,11909
314,589,4873
316,544,6241
317,186,11442
318,21,5388
318,26,4737
318,34,4679
320,143,7858
320,275,10490
322,168,5777
322,670,5982
323,201,5289
323,331,87
324,200,9448
326,255,10978
326,304,7897
326,350,12930
326,417,7611
327,151,9655
327,536,7207
328,267,12657
330,11,8403
330,19,12418
330,263,7341
330,579,10467
331,201,5231
331,323,87
332,16,8427
332,135,5011
332,221,10537
333,280,6286
333,566,2653
333,569,4919
334,35,8897
334,51,12391
334,74,8366
334,278,4332
334,308,8749
334,348,6204
334,381,3647
334,436,9614
334,494,11119
334,511,7283
334,548,9985
334,672,6722
336,416,8990
336,509,10891
337,310,8477
338,2,5053
338,31,12439
338,77,9799
338,161,7862
338,204,7699
338,206,11659
338,659,7751
338,663,3602
338,665,10221
339,30,11379
339,32,6325
339,363,6101
342,159,2235
342,249,7215
342,300,10105
342,408,12125
342,578,2601
342,650,8342
343,248,7319
345,357,9679
345,358,8488
345,361,5165
345,364,4186
345,368,7500
345,460,4170
345,532,9869
345,533,9962
347,46,3047
347,89,12744
347,91,3800
347,297,5259
347,393,12526
348,51,12493
348,74,7064
348,166,9785
348,278,6859
348,334,6204
348,381,9228
348,494,5640
348,511,2975
348,530,8945
348,672,3318
349,175,12465
349,527,9475
350,304,9033
350,326,12930
350,417,5368
351,55,10713
351,66,12067
351,228,6965
351,404,6711
351,559,12492
351,614,3274
353,424,8571
354,72,8295
354,82,6397
354,87,7968
354,179,11560
354,437,9937
355,306,8258
355,492,9292
356,408,8550
356,650,9159
357,345,9679
357,358,11018
357,361,12576
357,364,6572
357,460,12123
357,532,932
357,533,287
358,345,8488
358,357,11018
358,359,7536
358,361,5431
358,364,6023
358,368,6597
358,448,10144
358,457,5637
358,459,10372
358,460,6072
358,532,11811
358,533,11170
358,535,12973
359,358,7536
359,361,8698
359,364,12962
359,368,7137
359,448,6858
359,457,4774
359,459,6267
359,460,9748
359,534,12895
361,345,5165
361,357,12576
361,358,5431
361,359,8698
361,364,6013
361,368,2593
361,457,9672
361,460,1051
361,533,12818
363,30,5285
363,32,311
363,339,6101
364,345,4186
364,357,6572
364,358,6023
364,359,12962
